"Item Name","Quantity","Cost Price","Selling Price","Expected Profit"
"Rockcare Garlic Herbal Mixture","10","25.00","0.00","-250.00"
"Romex Adult","20","15.00","0.00","-300.00"
"Romex Baby","44","0.00","14.00","616.00"
"Romex Chesty","10","15.00","0.00","-150.00"
"Ronabru Forte Tablets","80","3.00","3.00","0.00"
"Ronabru Max Caps","520","0.00","2.00","1,040.00"
"Ronaconda balm","209","5.50","7.00","313.50"
"Ronadol tab","462","1.36","1.70","157.08"
"Ronadol-C Syrup","10","10.00","0.00","-100.00"
"Ronadyne Plus 200ml","10","18.00","0.00","-180.00"
"Ronak bco'c caps","186","8.00","9.00","186.00"
"Ronak herbal Inhaler","206","1.83","2.50","138.02"
"Ronak Inhaler (2in1)","10","8.00","0.00","-80.00"
"Ronak Lozenges","3140","0.00","0.30","942.00"
"Ronakton Forte Capsules","378","5.40","7.50","793.80"
"Ronaktone Forte Syurup(200ml)","6","0.00","19.00","114.00"
"RONAMAN SPRAY","188","18.00","25.00","1,316.00"
"Ronamol C syr","191","3.00","5.00","382.00"
"Ronamol Plus Tablet","956","1.50","2.00","478.00"
"Ronamol tab","1020","1.35","1.70","357.00"
"Ronantra Forte Capsules","10","5.00","0.00","-50.00"
"Ronanutra Forte Syrup(200ml)","10","18.00","0.00","-180.00"
"RONANUTRA FORTE TAB","391","3.50","4.00","195.50"
"Ronaparmax Tablet","10","4.00","0.00","-40.00"
"Ronaxicam Capsules","25","0.00","2.00","50.00"
"Ronfit cold caps","710","5.05","6.00","674.50"
"Ronfit Cold Tablets","6","2.00","0.00","-12.00"
"Ronfit Extra","52","1.80","2.20","20.80"
"RONFIT EXTRA TTAB","600","1.82","2.20","228.00"
"RONFIT FORTE CAPS","1260","4.99","5.50","642.60"
"Ronfit kid syr","90","15.30","18.00","243.00"
"Ronfit Max","120","0.00","5.50","660.00"
"Ronfit paingel","285","5.75","7.00","356.25"
"Ronfit plus tab","1130","1.62","2.00","429.40"
"Ronfit Triple Action","135","5.75","7.00","168.75"
"Ronluz-100 Tablet","141","2.34","2.80","64.86"
"ronsunate 120mg iv/ im","40","0.00","18.00","720.00"
"Ronvit Extra Syrup","10","18.00","0.00","-180.00"
"Ronvit Extra Tablets","10","5.00","0.00","-50.00"
"Ronvit Forte Syrup(200ml)","10","18.00","0.00","-180.00"
"Ronvit Forte Tablets","10","5.00","0.00","-50.00"
"Ronvit Kid syr","86","15.30","19.00","318.20"
"Ronvit Multivite Syrup(200ml)","10","18.00","0.00","-180.00"
"Rooter Herbal Mixture","15","31.00","34.00","45.00"
"Rooter Tytonic","996","38.00","38.00","0.00"
"Rosons Forte Capsules","10","4.00","0.00","-40.00"
"ROX CLAV 457 USP","193","7.00","9.00","386.00"
"ROX-CLAV DS 457","1995","0.00","15.00","29,925.00"
"Roxacid Forte 200ml","10","15.00","0.00","-150.00"
"Roxidol Extra Tablet","10","7.00","0.00","-70.00"
"Roxidol Tablet","10","3.30","3.60","3.00"
"Roxin balm","214","5.50","7.00","321.00"
"Roxin Herbal Inhaler","625","0.00","2.50","1,562.50"
"Royaltem Suspension","10","25.00","0.00","-250.00"
"Rubber Envelop","2997","0.00","15.00","44,955.00"
"RUBBER ENVELOP S/S (MOON PHARMACY)","100","9.00","10.00","100.00"
"RUBBER ENVELOPE B/S","116","13.00","15.00","232.00"
"RUBBER ENVELOPE S/S","237","5.00","7.00","474.00"
"S PREB TAB","10","58.00","65.00","70.00"
"Sabutalin Syrup(ECL)","10","0.00","16.00","160.00"
"salbutamol inh(salbutis)","132","40.00","45.00","660.00"
"SALICYLIC ACID","300","0.00","14.00","4,200.00"
"Salo Apeti Syrup","52","0.00","23.00","1,196.00"
"Salo Extra Tablets","50","3.00","3.50","25.00"
"Salo-Fulvin Syrup","36","21.00","22.00","36.00"
"samalin lozenges","1","4.40","6.00","1.60"
"Samalin Syrup (Adult)","134","11.90","14.00","281.40"
"Samalin Syrup Non Drowsy","140","14.73","16.00","177.80"
"Samalin Syrup(Junior)","140","11.90","14.00","294.00"
"sana Nasal Drops","1159","4.50","6.00","1,738.50"
"sana Nasal Drops 10ml","1184","4.50","6.00","1,776.00"
"SAVLON S/S","22","0.00","27.00","594.00"
"secnidazole tab","96","9.00","11.00","192.00"
"seco ointent","30","9.00","10.00","30.00"
"Seco Angecare","10","30.00","30.00","0.00"
"Seco Gyica Herbal Mixture","46","30.00","35.00","230.00"
"Secure tab","2578","4.40","5.50","2,835.80"
"Sennaco (PPL)","10","10.00","0.00","-100.00"
"Sennaco(Adenseman)","284","4.50","5.50","284.00"
"Sennaco(Rockmer)","10","10.00","0.00","-100.00"
"SENSODYNE PASTE","24","46.65","50.00","80.40"
"Septrin Susp Letap","236","3.80","5.00","283.20"
"Septrin Tablets (200mg) Letap","196","1.28","1.60","62.72"
"SEQUICLO 100MG TAB","1890","1.50","1.80","567.00"
"Sequizol 400 Tablets","2266","1.16","1.35","430.54"
"SEQUIZOLE SUSP","301","3.00","4.00","301.00"
"Sermens Capsules","8","42.00","45.00","24.00"
"Sermens Mixture","44","42.00","45.00","132.00"
"Seven Seas Cod Liver Oil","10","85.00","0.00","-850.00"
"SHALCIP TZ TAB","500","11.80","15.00","1,600.00"
"shaltoux (lozenges)","1000","0.42","0.47","50.00"
"SIBI MAN CAPS","17","22.00","25.00","51.00"
"SIBI SOAP","40","22.00","25.00","120.00"
"SILYBEAM COMP","5","285.00","300.00","75.00"
"simple linctus paediatric propharm 100ml","55","0.00","11.00","605.00"
"simple linctus adult propharm","16","9.00","11.00","32.00"
"SIRDULUD 2MG TAB","60","27.00","30.00","180.00"
"SIVODERM","5","11.50","12.50","5.00"
"SIX AM SOLUTION","190","4.60","6.00","266.00"
"Skylax Solution","10","25.00","0.00","-250.00"
"SM Bitters","22","50.00","60.00","220.00"
"socomol extra tab","470","4.00","4.20","94.00"
"Socomol Tablet","546","2.00","2.25","136.50"
"Sofo Yeboah Herbal Mixture(Malaria)","10","15.00","17.00","20.00"
"Sofo Yeboah Herbal Mixture(Ulcer)","30","15.00","17.00","60.00"
"Solak Mixture","15","21.00","23.00","30.00"
"Soldier Balm","18","8.33","9.50","21.06"
"Sopadic Capsules","588","3.00","3.50","294.00"
"Spanish cold fly","196","15.00","18.00","588.00"
"Sparnish Garlic Bitters","16","30.00","32.00","32.00"
"Sparnish Garlic Capsules","20","45.00","47.00","40.00"
"spirit (60ml)","285","2.90","3.50","171.00"
"Spirit 200ml(Ernest Chemist)","10","25.00","0.00","-250.00"
"Spirit 200ml(PPL)","10","10.00","0.00","-100.00"
"Spirit 500ml(PPL)","10","25.00","0.00","-250.00"
"Spirit 60ml(Adenseman)","280","3.50","4.50","280.00"
"Spirit 60ml(Rockmer)","10","5.00","0.00","-50.00"
"spirono lactone 50 /e. c. l./","9","0.00","40.00","360.00"
"SPIRONOLOCTON 25MG TAB","10","25.00","30.00","50.00"
"SPIRONOLOCTON 50MG TAB","12","36.00","40.00","48.00"
"Stomacaine Syrup","9","0.00","38.00","342.00"
"stopkof adult","79","15.80","17.00","94.80"
"Stopkof Expectorant(Children)","42","0.00","16.00","672.00"
"streptomycin ing /troge/","40","0.00","4.00","160.00"
"strobin lozenges","1924","2.40","2.77","711.88"
"SULPHUR OINT DANEX","40","12.83","14.00","46.80"
"Suma Active Syrup","10","20.00","0.00","-200.00"
"Sumo active syrup","44","14.89","17.00","92.84"
"Sumo active tab","332","2.36","2.80","146.08"
"Sumo Active Tablets","5","4.00","0.00","-20.00"
"super Apeti plus syrup","0","0.00","26.00","0.00"
"Super Apeti Tab","594","3.86","4.50","380.16"
"syphilis test strip","250","3.60","5.00","350.00"
"syring&needel 10cc (moon pharmacy)","860","0.70","1.00","258.00"
"syring&needel 2cc(moon pharmacy)","2290","0.50","0.60","229.00"
"syring&needel 5cc(yellow&orange)","1790","0.50","0.65","268.50"
"syringe & needel 2ml dispomisd","200","0.65","1.00","70.00"
"Sytamogen 100ml","45","0.00","65.00","2,925.00"
"Taabea Capsules","6","20.00","20.00","0.00"
"Taabea Herbal Mixture","173","22.50","24.00","259.50"
"Tabucap Capsules","745","2.36","2.60","178.80"
"TABUFEN SYR (IBRUFEN)","118","10.14","12.00","219.48"
"TADARICH TAB 20MG","5","16.00","20.00","20.00"
"taddy gel","33","6.00","8.00","66.00"
"TAMSOLOSIN 400MG TAB(EXETER PHARMACY","7","39.30","47.00","53.90"
"Tanzol 400 Tablets","136","1.70","2.00","40.80"
"Tanzol Suspension","117","3.55","4.50","111.15"
"Teedar Syrup","138","14.38","16.00","223.56"
"TEFOLAV TAB","10","108.00","125.00","170.00"
"Testing","30","10.00","20.00","300.00"
"tetra eye oint(lavina)","222","5.80","7.00","266.40"
"THIAMINE TAB","100","9.20","12.00","280.00"
"Thorntina 74","12","65.00","70.00","60.00"
"Time Herbal Mixture","9","25.00","27.00","18.00"
"Tinatett Venecare","10","44.00","46.00","20.00"
"Today Intimate Wash","80","0.00","25.00","2,000.00"
"Tonkyi Caps","134","25.00","28.00","402.00"
"topilon cream","140","6.00","8.00","280.00"
"Toptabs","80","6.45","7.50","84.00"
"TOT'HEMA SYRUP","390","6.25","7.00","292.50"
"Tothema","0","0.00","0.00","0.00"
"tracam","80","5.00","6.00","80.00"
"Trafan tab","2150","2.90","3.50","1,290.00"
"Trafit Forte Tablet","10","7.00","0.00","-70.00"
"trampiron caps","885","2.50","3.00","442.50"
"Travaron Syrup (Adult)","10","15.00","0.00","-150.00"
"Trazol 500 Tablets","75","3.30","3.30","0.00"
"TREMENDOUS CAPSULES","5","36.00","39.00","15.00"
"Tres Orix Syrup (Small Size)","15","24.00","26.00","30.00"
"Tres Orix Syrup(Big Size)","13","0.00","50.00","650.00"
"Trihepta Tablets","10","3.00","0.00","-30.00"
"Trilex Cream 30g","217","0.00","13.00","2,821.00"
"trisilcate mixture","346","3.80","5.00","415.20"
"trustzole 400mg tab","20","6.00","7.00","20.00"
"Tymen 400 Tablets","10","3.00","0.00","-30.00"
"typhoid test 1gm","125","6.80","10.00","400.00"
"ulcal jack","2","45.00","48.00","6.00"
"Ulciron Suspension","10","20.00","0.00","-200.00"
"UNCLE JACK SYRUP","15","50.00","55.00","75.00"
"VAGACIID ANTACID SUSP","20","35.50","38.00","50.00"
"Vaginas cream","72","7.89","11.00","223.92"
"Vaginas pess","96","4.63","7.00","227.52"
"VALUE PACK FOLIC ACID TAB","28","18.00","25.00","196.00"
"VASeline","25","30.00","33.00","75.00"
"VEGACID ANTACID SUSP","20","35.50","38.00","50.00"
"VEGACID O ANTACID SUSP","20","38.50","42.00","70.00"
"VEGATEM 20/120MG SUSP","19","225.00","28.00","-3,743.00"
"VEGATEM 20/120MG TAB","20","20.50","24.00","70.00"
"VERMOX SUSP","10","47.39","52.00","46.10"
"VERMOX TAB 500MG","236","17.50","19.70","519.20"
"Victory Garlic Mixture","62","37.00","39.00","124.00"
"Vigoris forte Tablets","12","9.00","9.00","0.00"
"Vigorix Forte Syrup","10","20.00","23.00","30.00"
"Vikil-20","29","28.00","30.00","58.00"
"VIROL TONIC 200ML","69","18.25","21.00","189.75"
"Viscof","0","0.00","32.00","0.00"
"viscof d syrup","25","30.35","33.00","66.25"
"Viscof-S Syrup","20","30.35","33.00","53.00"
"VIT B DANK","90","33.00","37.00","360.00"
"VIT E 400IU CAPS","10","52.00","60.00","80.00"
"vita apeti syr 100ml","108","10.80","14.00","345.60"
"Vita Apeti Syr 200ml","46","27.00","30.00","138.00"
"VITA RICH 100ML","462","7.00","8.50","693.00"
"VITA RICH SYR 200ML","198","11.00","14.00","594.00"
"Vitaforce Syr","8","0.00","60.00","480.00"
"Vitamin B Complex Tablets (Letap)","8045","0.25","0.35","804.50"
"Vitamin B Denk","50","31.17","35.00","191.50"
"VITAMIN C SOLUBLE MIVOLIS","988","0.00","35.00","34,580.00"
"vitamin c tab (letap)","931","0.45","0.55","93.10"
"VITAMIN D3 DROP","70","18.00","22.00","280.00"
"vitamin kl ing","140","9.00","12.00","420.00"
"vitamine b syrup(baseline pharmacy)","10","7.50","9.00","15.00"
"Vitamon Syr","10","0.00","25.00","250.00"
"Vitamoon plus syrup","17","21.60","24.00","40.80"
"Vitapower Syr","49","0.00","30.00","1,470.00"
"Vitaron-Z Syr","40","14.00","16.00","80.00"
"Vitaronak C2 Syrup","6","10.00","0.00","-60.00"
"Vitaronak Syrup","10","10.00","10.00","0.00"
"Vitaven Tablets (Luex)","10","25.00","25.00","0.00"
"Vitavon Syr","122","14.00","16.00","244.00"
"Viteferon Syrup","10","15.00","0.00","-150.00"
"Vitferon Capsules","10","15.00","0.00","-150.00"
"Vitferon Syr","43","14.00","16.00","86.00"
"VITRON Z SYR","95","12.00","14.00","190.00"
"VIVACHEK TEST STRIP","500","5.20","6.00","400.00"
"water for inj (letep)","3426","0.40","0.60","685.20"
"WELLMEN","9","0.00","150.00","1,350.00"
"WELLWOMAN CAPS ORG","20","135.00","160.00","500.00"
"wellwoman max","10","240.00","270.00","300.00"
"WELLWOMAN PLUS","10","157.00","180.00","230.00"
"Wormalex Tablets","2960","3.00","3.00","0.00"
"Wormbase Suspension","8","4.00","4.00","0.00"
"Wormbat 400 Tablets","1044","0.00","3.75","3,915.00"
"WORMBAT SUSP","90","7.00","8.50","135.00"
"wormplex tab","34","13.00","14.50","51.00"
"Wormron 400 Tablets","575","0.00","0.60","345.00"
"Wormron Suspension","668","2.36","3.50","761.52"
"xalapa 500 (cefuroxime tab)","87","28.00","35.00","609.00"
"Xferon Capsules","10","17.00","20.00","30.00"
"Xferon Syr","1","0.00","20.00","20.00"
"XFeron Syrup","17","17.00","20.00","51.00"
"XFERON SYRUP 150ML","60","7.30","10.00","162.00"
"Yaakson Mixture","66","20.00","22.00","132.00"
"yodi tab","4650","0.70","1.00","1,395.00"
"yovanny inhalre","942","3.80","4.50","659.40"
"Z 400 SUPS","89","4.20","5.50","115.70"
"Z 400 TAB","400","1.90","2.50","240.00"
"Z.400 Suspension","10","6.00","6.00","0.00"
"Z.400 Tablets","10","2.50","2.50","0.00"
"Zahara Gee Capsules","10","25.00","25.00","0.00"
"Zahara Mixture","-21","23.00","25.00","-42.00"
"Zairora Tablet","777","2.70","3.00","233.10"
"ZAZAN ODOURLESS GARLIC CAPS","24","32.10","38.00","141.60"
"Zecarb Adult Syr","28","0.00","11.00","308.00"
"Zecarb Junior Syr","45","0.00","11.00","495.00"
"ZENTEL TAB","10","14.00","16.00","20.00"
"ZENTOKID DROP","10","79.00","85.00","60.00"
"Zerocid Plus Suspension","10","25.00","25.00","0.00"
"Zerocid Suspension","119","10.50","13.00","297.50"
"ZET 200 Tablets","107","4.00","4.00","0.00"
"Zet. Worm Suspension","10","9.00","9.00","0.00"
"ZINC OXIDE PLASTER ROLL (FOUR INCH)","90","29.00","31.00","180.00"
"ZINC OXIDE PLASTER ROLL (ONE INCH)","180","8.00","10.00","360.00"
"ZINC OXIDE PLASTER ROLL (TWO INCH)","90","15.50","17.00","135.00"
"Zinc tab 20mg","383","0.70","1.00","114.90"
"Zincofer Syrup","24","42.10","44.00","45.60"
"ZINCOMIN F SYRUP","25","22.50","27.00","112.50"
"Zincovit Drop","25","21.34","24.00","66.50"
"Zincovit Syrup","25","38.99","42.00","75.25"
"Zincovit Tablets","17","44.50","49.00","76.50"
"Zinnat 500mg","5","141.00","170.00","145.00"
"Zinol Syrup","13","11.00","13.00","26.00"
"ZINOLTAB","685","1.40","1.80","274.00"
"zintab 10mg","420","0.40","0.60","84.00"
"Zipferon Forte Syr","6","13.00","15.00","12.00"
"Zubes Child Syrup","33","17.83","20.00","71.61"
"zubes expectorant 125ml","12","0.00","22.00","264.00"
"ZUBES EXTRA STRONG EXTRA STRONG SYRUP","57","27.63","31.00","192.09"
"zubes tabs","1215","1.40","1.60","243.00"
"ZUDREX TAB","148","6.00","6.50","74.00"
"Zulu 100mg Tablets","2238","7.00","7.50","1,119.00"
"Zulu Extra Tab","335","7.00","7.50","167.50"
"Zulu Mr Tablets","30","10.00","11.00","30.00"
"Zulu Plus Tab","1530","6.00","6.50","765.00"
"zyfen 120mg tab","7","38.00","50.00","84.00"
"ZYMAX 250MG TAB","30","16.00","19.00","90.00"
"Zymax 500mg tab","50","22.80","27.00","210.00"
"Zymax SUSP","1995","22.50","28.00","10,972.50"
"Grand Total","391613","2,087,456.71","2,956,628.04","869,171.33"
